name,datetime,temp,dew,humidity,windspeed,cloudcover,solarradiation,solarenergy,sunrise,sunset,moonphase,conditions,description,icon
"Kano, Nigeria",2023-01-21,21.3,1.7,32.7,12.8,20,255.8,21.9,2023-01-21 6:51:17,2023-01-21 18:23:22,0,Clear,Partly cloudy throughout the day.,clear-day
"Kano, Nigeria",2023-01-22,21.2,2.5,35.5,15.3,29.6,256.9,22,2023-01-22 6:51:21,2023-01-22 18:23:52,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-23,21.7,2.9,35.4,17.2,46.8,260,22.4,2023-01-23 6:51:24,2023-01-23 18:24:21,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-24,21.8,4.2,38.5,11.4,36.4,262.2,22.6,2023-01-24 6:51:25,2023-01-24 18:24:49,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-25,21.9,2,33.4,11.4,34.4,262.6,22.6,2023-01-25 6:51:26,2023-01-25 18:25:17,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-26,23,2.8,32,11.4,42.4,261.5,22.6,2023-01-26 6:51:26,2023-01-26 18:25:44,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
"Kano, Nigeria",2023-01-27,24.2,4.9,35.8,9.2,38.6,262.2,22.6,2023-01-27 6:51:24,2023-01-27 18:26:11,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-28,26.2,6.5,33.4,11.4,50,259.5,22.4,2023-01-28 6:51:22,2023-01-28 18:26:38,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-29,26.1,5.3,29,8.1,78.5,256.1,22.1,2023-01-29 6:51:18,2023-01-29 18:27:03,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-30,26.4,3.3,25.5,13.4,66.6,252.8,21.7,2023-01-30 6:51:14,2023-01-30 18:27:29,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-01-31,23.9,3.4,30.3,11.4,48.2,232.6,20,2023-01-31 6:51:08,2023-01-31 18:27:53,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-01,23,2.2,28.1,26.2,40.4,262.5,22.5,2023-02-01 6:51:01,2023-02-01 18:28:17,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
"Kano, Nigeria",2023-02-02,21.5,3.2,32.4,31.4,25.6,266.5,22.9,2023-02-02 6:50:54,2023-02-02 18:28:41,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
"Kano, Nigeria",2023-02-03,22.4,5.5,38.2,15,26.4,268.1,23.1,2023-02-03 6:50:45,2023-02-03 18:29:04,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-04,23.2,5.2,37,19.7,31.7,266.6,23.1,2023-02-04 6:50:35,2023-02-04 18:29:26,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-05,25,5.9,33.1,13.9,53.4,269.5,23.3,2023-02-05 6:50:24,2023-02-05 18:29:48,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
"Kano, Nigeria",2023-02-06,23.4,5.6,36.8,65.5,39.7,271.1,23.4,2023-02-06 6:50:12,2023-02-06 18:30:09,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
"Kano, Nigeria",2023-02-07,22.5,4.2,34.3,20.4,31.8,274.2,23.6,2023-02-07 6:49:59,2023-02-07 18:30:29,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-08,22.5,5.4,37,16.1,19.5,271.9,23.3,2023-02-08 6:49:45,2023-02-08 18:30:49,0.59,Clear,Clear conditions throughout the day.,clear-day
"Kano, Nigeria",2023-02-09,22.6,3.1,32.2,16.1,15,275.4,23.6,2023-02-09 6:49:30,2023-02-09 18:31:08,0.63,Clear,Clear conditions throughout the day.,clear-day
"Kano, Nigeria",2023-02-10,22.8,1.4,27.6,17.2,29.1,279.3,24.1,2023-02-10 6:49:14,2023-02-10 18:31:27,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-11,22.3,2.2,30.3,23,22.9,279.8,24.1,2023-02-11 6:48:57,2023-02-11 18:31:44,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
"Kano, Nigeria",2023-02-12,22.5,3.1,29.6,64.4,21.7,279.9,24.1,2023-02-12 6:48:40,2023-02-12 18:32:02,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
"Kano, Nigeria",2023-02-13,22.7,4.5,32.2,21.9,22.5,278.2,24.1,2023-02-13 6:48:21,2023-02-13 18:32:19,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-14,22.2,3.8,32.6,21.9,21.3,278.2,24.2,2023-02-14 6:48:01,2023-02-14 18:32:35,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
"Kano, Nigeria",2023-02-15,20.1,2.9,32.8,20.8,22.1,280.2,24.3,2023-02-15 6:47:41,2023-02-15 18:32:50,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
"Kano, Nigeria",2023-02-16,19.1,2.8,34.3,23,57.3,281.8,24.3,2023-02-16 6:47:19,2023-02-16 18:33:05,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-17,19,2.6,35,19.7,50.4,280.1,24.2,2023-02-17 6:46:57,2023-02-17 18:33:19,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-18,19.9,3.5,35.8,21.9,48.8,280.2,24.2,2023-02-18 6:46:34,2023-02-18 18:33:33,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-19,20,4,38.4,29.1,42.9,279.9,24.2,2023-02-19 6:46:10,2023-02-19 18:33:46,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-20,21,4.1,35.2,19.7,37.5,280.6,24.2,2023-02-20 6:45:46,2023-02-20 18:33:59,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-21,21.8,5.2,36.7,20.4,14.2,282.2,24.3,2023-02-21 6:45:20,2023-02-21 18:34:11,0.04,Clear,Clear conditions throughout the day.,clear-day
"Kano, Nigeria",2023-02-22,22.5,4.2,33.8,13.9,22.5,282.7,24.3,2023-02-22 6:44:54,2023-02-22 18:34:22,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-23,23.6,4.9,34.1,10.3,25,284.5,24.5,2023-02-23 6:44:27,2023-02-23 18:34:33,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-24,23.9,4.8,33.5,17.9,42.7,285.6,24.6,2023-02-24 6:44:00,2023-02-24 18:34:44,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-25,24.6,3,27.9,12.8,71.1,288.3,25.2,2023-02-25 6:43:31,2023-02-25 18:34:54,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-26,25.3,4,29.6,13.9,78.9,289.5,25.2,2023-02-26 6:43:02,2023-02-26 18:35:03,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
"Kano, Nigeria",2023-02-27,26.6,6.7,31.9,9.4,50.4,288,25,2023-02-27 6:42:33,2023-02-27 18:35:12,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-02-28,27.8,7.2,32.2,13.9,35,288.3,25.1,2023-02-28 6:42:02,2023-02-28 18:35:21,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-01,28.7,6.8,29.4,10.3,39.6,288.7,25.2,2023-03-01 6:41:31,2023-03-01 18:35:29,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
"Kano, Nigeria",2023-03-02,29.1,8.1,29.8,11.4,68.3,280.7,24.3,2023-03-02 6:41:00,2023-03-02 18:35:36,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
"Kano, Nigeria",2023-03-03,28.5,9.1,32.7,11.4,24.7,290.4,25.3,2023-03-03 6:40:28,2023-03-03 18:35:43,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
"Kano, Nigeria",2023-03-04,28.4,9.4,34,13.9,25.5,287.4,25,2023-03-04 6:39:56,2023-03-04 18:35:50,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
"Kano, Nigeria",2023-03-05,30.8,8.3,27.5,20.8,28.6,288.8,25.2,2023-03-05 6:39:23,2023-03-05 18:35:56,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-06,31.9,6.9,24.4,18.3,30.2,293.2,25.3,2023-03-06 6:38:49,2023-03-06 18:36:02,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
"Kano, Nigeria",2023-03-07,30,8.7,29.9,12.8,60,286.9,24.7,2023-03-07 6:38:15,2023-03-07 18:36:08,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
"Kano, Nigeria",2023-03-08,29.8,9,30.3,11.4,44.8,288.8,24.9,2023-03-08 6:37:41,2023-03-08 18:36:13,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
"Kano, Nigeria",2023-03-09,29.1,5.8,26.9,18.3,38,291.3,25.1,2023-03-09 6:37:06,2023-03-09 18:36:18,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-10,30.2,5.7,25.3,21.9,55,259.7,22.4,2023-03-10 6:36:31,2023-03-10 18:36:23,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-11,28.7,4.3,24.7,19.7,48.6,291.4,25.1,2023-03-11 6:35:55,2023-03-11 18:36:27,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-12,26.1,3,27,20.8,71.3,249,21.5,2023-03-12 6:35:19,2023-03-12 18:36:31,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-13,26.1,3.6,25.9,13.9,61.4,273.2,23.7,2023-03-13 6:34:43,2023-03-13 18:36:35,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-14,25.8,5,32.9,15,16.8,309.4,26.8,2023-03-14 6:34:07,2023-03-14 18:36:38,0.74,Clear,Clear conditions throughout the day.,clear-day
"Kano, Nigeria",2023-03-15,26.1,4.5,29.3,12.8,18.4,310.2,26.7,2023-03-15 6:33:30,2023-03-15 18:36:42,0.75,Clear,Clear conditions throughout the day.,clear-day
"Kano, Nigeria",2023-03-16,26.5,2.2,25.2,15,16.4,311.7,26.9,2023-03-16 6:32:53,2023-03-16 18:36:45,0.81,Rain,Clear conditions throughout the day with afternoon rain.,rain
"Kano, Nigeria",2023-03-17,26.6,2.7,25.2,15.3,16.5,314,27,2023-03-17 6:32:16,2023-03-17 18:36:48,0.85,Clear,Clear conditions throughout the day.,clear-day
"Kano, Nigeria",2023-03-18,26.4,3.4,25.7,11.4,52.2,313.4,27,2023-03-18 6:31:38,2023-03-18 18:36:51,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-19,28.1,7,29,20.1,80.7,289.3,25,2023-03-19 6:31:01,2023-03-19 18:36:53,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-20,30,16.4,45.5,13.9,63.5,197.1,17,2023-03-20 6:30:23,2023-03-20 18:36:55,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-21,26.2,16.9,57.2,21.9,72.6,173.7,15.1,2023-03-21 6:29:45,2023-03-21 18:36:58,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-22,29,17.5,54.2,13.9,60,276,23.9,2023-03-22 6:29:07,2023-03-22 18:37:00,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-23,29.8,13.9,42.3,13.9,29.1,288,24.8,2023-03-23 6:28:29,2023-03-23 18:37:02,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-24,28.9,7.5,28.6,12.8,75.8,287.5,24.7,2023-03-24 6:27:51,2023-03-24 18:37:04,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-25,29.1,4.7,22.7,15,52.8,304.5,26.3,2023-03-25 6:27:13,2023-03-25 18:37:06,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-26,28.2,4.7,24.4,13.9,41.1,308.3,26.7,2023-03-26 6:26:35,2023-03-26 18:37:08,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
"Kano, Nigeria",2023-03-27,28.4,4.9,26.2,23,24.8,306.3,26.6,2023-03-27 6:25:57,2023-03-27 18:37:10,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-28,28.4,3.8,24.4,16.1,22.5,310.8,26.8,2023-03-28 6:25:18,2023-03-28 18:37:12,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-29,26.6,4.2,28.2,16.1,32.5,315.3,27.1,2023-03-29 6:24:40,2023-03-29 18:37:14,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-30,27.5,3.1,24.4,18.3,59.6,294.1,25.5,2023-03-30 6:24:02,2023-03-30 18:37:16,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-03-31,27.4,3.7,24.4,15,46,305,26.3,2023-03-31 6:23:25,2023-03-31 18:37:18,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
"Kano, Nigeria",2023-04-01,28.5,2.3,20.4,21.9,46.5,315.4,27.2,2023-04-01 6:22:47,2023-04-01 18:37:20,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-02,27.4,3.5,24.7,17.4,24.2,315.4,27.2,2023-04-02 6:22:09,2023-04-02 18:37:22,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-03,27.6,3.5,25.7,11.4,29.7,315.4,27.2,2023-04-03 6:21:32,2023-04-03 18:37:24,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-04,28.3,2.5,21.6,12.8,77.7,280.1,24.3,2023-04-04 6:20:55,2023-04-04 18:37:26,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-05,28.7,3.7,24,10.3,49.7,316.9,27.3,2023-04-05 6:20:18,2023-04-05 18:37:29,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
"Kano, Nigeria",2023-04-06,30.2,5.1,23.6,17.2,50.8,319,27.7,2023-04-06 6:19:41,2023-04-06 18:37:31,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-07,31.5,8.2,25.5,10.3,52.2,315.8,27.3,2023-04-07 6:19:05,2023-04-07 18:37:34,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
"Kano, Nigeria",2023-04-08,33.3,15.9,37,22.1,71.9,281.1,24.3,2023-04-08 6:18:28,2023-04-08 18:37:37,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-09,32.8,12.8,36.3,16.1,54,310.4,26.9,2023-04-09 6:17:52,2023-04-09 18:37:40,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-10,31.6,13.8,37.2,15,78.7,273.3,23.5,2023-04-10 6:17:17,2023-04-10 18:37:43,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-11,31.8,12.7,33.5,13.9,73.8,304.2,26.3,2023-04-11 6:16:42,2023-04-11 18:37:46,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-12,30.6,7.8,27,18.8,43.7,317.1,27.4,2023-04-12 6:16:07,2023-04-12 18:37:50,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-13,29.2,7.3,27.8,15,35.4,319.8,27.6,2023-04-13 6:15:32,2023-04-13 18:37:54,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-14,30.9,7,25,15.3,26,311.9,27,2023-04-14 6:14:58,2023-04-14 18:37:58,0.8,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
"Kano, Nigeria",2023-04-15,30.2,7.5,27.1,11.4,46.1,302.9,26,2023-04-15 6:14:24,2023-04-15 18:38:02,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-16,30.6,9.9,30.4,11.4,53.5,309.2,26.7,2023-04-16 6:13:51,2023-04-16 18:38:07,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-17,31.1,16,41.9,11.4,70.4,293.6,25.4,2023-04-17 6:13:19,2023-04-17 18:38:12,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-18,33.8,16.9,38.9,13.9,45.3,281.3,24.3,2023-04-18 6:12:46,2023-04-18 18:38:17,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-19,33.7,16.2,38.7,15.3,55,297,25.6,2023-04-19 6:12:14,2023-04-19 18:38:22,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-20,33.2,16.6,39.5,18.3,49.5,291.3,25.2,2023-04-20 6:11:43,2023-04-20 18:38:28,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-21,32.9,17.7,42.3,35.8,55.2,270.3,23.2,2023-04-21 6:11:12,2023-04-21 18:38:34,0.04,Partially cloudy,Partly cloudy throughout the day.,wind
"Kano, Nigeria",2023-04-22,33.4,17.8,43.6,17.2,55,296.8,25.6,2023-04-22 6:10:42,2023-04-22 18:38:40,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-23,32,19.5,48.7,21.9,56.3,282.2,24.3,2023-04-23 6:10:13,2023-04-23 18:38:47,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-24,26.5,20.4,70.2,17.2,60.6,200.5,17.4,2023-04-24 6:09:44,2023-04-24 18:38:54,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-25,31.1,19,54.7,12.8,58.7,270.8,23.2,2023-04-25 6:09:15,2023-04-25 18:39:01,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-26,32,18.9,51.3,26.4,60.4,292.5,25.4,2023-04-26 6:08:48,2023-04-26 18:39:09,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
"Kano, Nigeria",2023-04-27,31.3,17.1,44.8,18.8,72.7,277.6,24,2023-04-27 6:08:20,2023-04-27 18:39:17,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-28,31.4,18.9,49.6,17.2,75.8,262.1,22.4,2023-04-28 6:07:54,2023-04-28 18:39:25,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-29,30.8,16.9,44.2,20.8,65.8,270.7,23.3,2023-04-29 6:07:28,2023-04-29 18:39:34,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-04-30,30.1,15.4,43.6,20.8,59.8,294.7,25.6,2023-04-30 6:07:03,2023-04-30 18:39:43,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-05-01,31.5,16.4,43.5,11.4,32,295.7,25.7,2023-05-01 6:06:38,2023-05-01 18:39:52,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
"Kano, Nigeria",2023-05-02,32.1,15.1,38.4,12.8,35.3,306.1,26.6,2023-05-02 6:06:15,2023-05-02 18:40:02,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-05-03,32.9,15.2,37.4,15,35.6,296.6,25.6,2023-05-03 6:05:52,2023-05-03 18:40:12,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
"Kano, Nigeria",2023-05-04,33.2,13.5,33.7,23.8,27,301.9,26.3,2023-05-04 6:05:29,2023-05-04 18:40:23,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
"Kano, Nigeria",2023-05-05,32.6,15.6,37,15.3,50.4,266.3,23.1,2023-05-05 6:05:08,2023-05-05 18:40:34,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
"Kano, Nigeria",2023-05-06,32.9,15.5,37.5,18.3,53.9,281.8,24.3,2023-05-06 6:04:47,2023-05-06 18:40:45,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-05-07,33.4,12.7,35.5,23.8,48,320.8,27.6,2023-05-07 6:04:27,2023-05-07 18:40:56,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
"Kano, Nigeria",2023-05-08,32.2,11,31.5,10.2,30.9,315.4,27.2,2023-05-08 6:04:08,2023-05-08 18:41:08,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-05-09,32.4,12.2,32.3,16.1,60.1,316.8,27.4,2023-05-09 6:03:49,2023-05-09 18:41:20,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-05-10,32.3,14,34.3,17.2,69,312.6,27,2023-05-10 6:03:32,2023-05-10 18:41:33,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
"Kano, Nigeria",2023-05-11,32.2,19.5,47.8,38.2,68.8,278.3,24,2023-05-11 6:03:15,2023-05-11 18:41:46,0.71,Partially cloudy,Partly cloudy throughout the day.,wind
